length , start  , read   , filter , measure , tagging , sort   , end
21, 611, 2072, 2264, 2460, 2648, 2835, 3037
22, 348, 773, 1403, 1610, 1813, 2010, 2218
23, 468, 761, 957, 1154, 1346, 1534, 1733
24, 508, 1245, 1431, 1622, 1810, 1994, 2189
25, 368, 681, 887, 1133, 1377, 1593, 1818
26, 456, 757, 941, 1127, 1313, 1498, 1692
1, 824, 2163, 2686, 2930, 3447, 3703, 3944
2, 1252, 1915, 2112, 2307, 2495, 2684, 2881
3, 749, 1463, 1691, 1898, 2116, 2351, 2576
4, 707, 1584, 1784, 1989, 2194, 2402, 2605
5, 581, 1258, 1467, 1668, 1885, 2263, 2482
6, 410, 766, 1038, 1288, 1533, 1755, 2018
7, 385, 754, 993, 1275, 1531, 1753, 2000
1, 3030, 6061, 7669, 9005, 10238, 11569, 12902
2, 853, 1970, 2161, 2348, 2565, 2753, 2957
3, 795, 2114, 2316, 2507, 3199, 3390, 3719
